(120, 120, 120)
(80, 50, 50)
(120, 120, 80)
(204, 5, 255)
(230, 230, 230)
(224, 5, 255)
(150, 5, 61)
(8, 255, 51)
(255, 6, 82)
(204, 255, 4)
(255, 51, 7)
(204, 70, 3)
(255, 6, 51)
(11, 102, 255)
(255, 7, 71)
(220, 220, 220)
(255, 9, 92)
(8, 255, 214)
(7, 255, 224)
(10, 255, 71)
(7, 255, 255)
(224, 255, 8)
(102, 8, 255)
(255, 61, 6)
(255, 194, 7)
(255, 122, 8)
(0, 255, 20)
(255, 8, 41)
(6, 51, 255)
(235, 12, 255)
(0, 163, 255)
(0250, 10, 15)
(20, 255, 0)
(255, 224, 0)
(0, 0, 255)
(255, 71, 0)
(0, 235, 255)
(0, 173, 255)
(31, 0, 255)
(0, 255, 245)
(0, 61, 255)
(0, 255, 112)
(0, 255, 133)
(255, 0, 0)
(255, 163, 0)
(194, 255, 0)
(0, 143, 255)
(51, 255, 0)
(0, 255, 41)
(0, 255, 173)
(10, 0, 255)
(0, 255, 153)
(255, 92, 0)
(255, 0, 102)
(255, 173, 0)
(0, 31, 255)
(0, 255, 194)
(0, 112, 255)
(51, 0, 255)
(0, 122, 255)
(0, 255, 163)
(255, 153, 0)
(0, 255, 10)
(255, 112, 0)
(143, 255, 0)
(184, 0, 255)
(255, 0, 31)
(0, 214, 255)
(255, 0, 112)
(92, 255, 0)
(70, 184, 160)
(153, 0, 255)
(71, 255, 0)
(255, 0, 163)
(255, 204, 0)
(255, 0, 143)
(255, 0, 235)
(245, 0, 255)
(214, 255, 0)
(0, 204, 255)
(20, 0, 255)
(255, 255, 0)
(0, 153, 255)
(0, 41, 255)
(0, 255, 204)
(41, 255, 0)
(173, 0, 255)
(0, 245, 255)
(122, 0, 255)
(0, 255, 184)
(0, 92, 255)
(184, 255, 0)
(0, 133, 255)
(255, 214, 0)
(25, 194, 194)
(102, 255, 0)
